SEQUENCE_NUMBER,PATH,TERMINATOR_WAYPOINT,TRACK,DISTANCE,ALTITUDE,SPEED,NAV_SPEC
1,IF,BIMPA,,,FL190,280,RNAV
2,TF,GOMSA,104.2,20.5,,250,RNAV
3,TF,WA507,104.6,10,FL120,,RNAV
4,TF,LAVMO,104.8,7.3,,220,RNAV
5,TF,UMTIX,151.3,11.3,,,RNAV
6,TF,OTMUL,151.7,8.2,,220,RNAV
7,TF,NEGEN,151.8,4,,,RNAV
8,TF,BARNA,151.8,4,,220,RNAV
9,TF,WA536,061.9,5,,,RNAV
10,TF,WA534,331.9,4,,,RNAV
11,TF,WA533,331.9,4,,,RNAV
12,TF,ERLEG,331.9,2.9,,,RNAV
13,TF,FAP/FAF,331.8,1.5,ALT3000,200,RNAV
